,2.5,97.5
beta_0,-0.0008736327839975889,0.0008736325687038512
beta_1,2.236193119473203,3.949948431067721
beta_2,-3.3643330354092242,-2.477088397383916
beta_3,-79.23889199954095,-56.31398161190924
beta_4,29.2345904282329,37.867555899262676
beta_5,12.25727555452664,23.24724355043094
beta_6,499.02717994133025,641.7683599146268
beta_7,7.857685852811308,62.08984489364865
beta_8,-114.91043135395442,-71.88547375926579
beta_9,29.3866087879235,100.51291113242561
beta_10,-2706.350088822156,-2195.5277187950314
beta_11,-788.4120343148777,-593.1059405386379
beta_12,-137.49997858339123,5.927729170854619
beta_13,-199.90475115559212,-53.11527791240104
beta_14,-907.2732580610767,-638.5297586015209
beta_15,5283.21366071983,6408.819908616108
beta_16,1573.4943962131829,2007.5435676540046
beta_17,966.430177555245,1285.0417977712932
beta_18,727.097145127204,1004.9285811911553
beta_19,518.9932678911474,844.8584491040918
beta_20,2115.0611198722095,2741.251288575056
beta_21,-8916.990922049672,-7364.094893380015
beta_22,-2389.082770486143,-1773.322045187685
beta_23,-2784.5512618581333,-2336.756187482687
beta_24,-1407.0169673141422,-1036.3585133377132
beta_25,-2528.7377351504347,-2150.5071798581102
beta_26,-1198.6848766906037,-735.4470126526579
beta_27,-4206.611817217001,-3293.832228803507
beta_28,5949.818005969218,7257.815722058126
beta_29,1066.9896468438237,1613.9623490057857
beta_30,2072.459623988965,2458.6583035623044
beta_31,1134.9532946696997,1462.5638256916284
beta_32,1687.6097571904545,1983.0681450312252
beta_33,2084.4826099726142,2418.321478619915
beta_34,551.6933407405548,963.6909976383514
beta_35,2713.011412766236,3523.7458198997797
beta_36,-3202.5859267388996,-2587.2176010931316
beta_37,-709.3901867192299,-431.5605273920982
beta_38,-729.1010642984512,-535.9938682577011
beta_39,-1218.386534702255,-1044.7394876366122
beta_40,-381.7909821885779,-235.8812132459924
beta_41,-1475.7925776840304,-1325.09002500762
beta_42,-1000.9436923487178,-826.8496387975224
beta_43,-459.6704211552201,-248.22683760332484
beta_44,-1532.5010784801484,-1131.4216433826446
beta_45,467.95066779878465,591.9167333242623
beta_46,116.45392476265746,178.11384810263795
beta_47,-105.93646508304636,-60.53583258541068
beta_48,486.11235970913896,530.8360951477337
beta_49,-284.7575921151856,-246.47859796545706
beta_50,443.43812454461005,478.91574012518976
beta_51,126.15084722339313,165.36634084881146
beta_52,175.87489716367236,218.72724922342786
beta_53,41.21500424867919,89.51312323087403
beta_54,185.90349317455556,270.5907866868946
