,2.5,97.5
beta_0,-0.0020012533382677044,0.0020012533379261442
beta_1,5.452648015574136,5.756544393947939
beta_2,4.527787270207174,4.818342805813753
beta_3,-15.922887851504152,-14.482027581087072
beta_4,-5.04543081971019,-3.909867507024729
beta_5,-12.530249505879967,-11.160750167042805
beta_6,-12.043177783393325,-9.322884709844807
beta_7,-12.731572107434117,-10.108917952784028
beta_8,10.564485604153502,13.195949662965235
beta_9,-12.450773834523444,-9.630869891454767
beta_10,36.294837976755815,38.540355886790195
beta_11,9.598081068049225,12.694385161709931
beta_12,46.19268140521042,49.2243377887816
beta_13,-30.492802162811792,-27.372378561954314
beta_14,29.950922574201897,32.71661212918691
beta_15,5.034686566237945,6.742598998918544
beta_16,8.225011394466335,10.202566919741159
beta_17,-14.903495814391533,-12.714459828360816
beta_18,-11.922139540515408,-9.736822539739743
beta_19,-0.7914998381293787,1.3481694440252556
beta_20,6.158008979931626,7.86090763069674
beta_21,-27.21225317217763,-25.22398511809875
beta_22,-12.011499522258974,-9.860713706346713
beta_23,-38.172114930068744,-35.62361683468367
beta_24,-9.793971366777432,-6.901705042861986
beta_25,-10.372687297864084,-7.680938582876498
beta_26,13.248864315135139,15.403514941450707
beta_27,-20.984021332146433,-18.754474427519533
beta_28,-15.122850658407302,-13.796879713621124
beta_29,-3.485721574972902,-1.8425070546869593
beta_30,-13.136440029556425,-11.269154261143385
beta_31,8.03618360329651,10.208364646227576
beta_32,6.842236945918109,9.034559087315294
beta_33,-3.9183132845653548,-1.9489687446759687
beta_34,6.875896283408975,8.576318036781275
beta_35,-13.59275669920623,-12.233393707877102
beta_36,13.76930457786843,16.349040212200954
beta_37,16.023268362998795,18.572819863420147
beta_38,24.3243287757724,26.987612370612524
beta_39,22.995128039628618,25.62755301465804
beta_40,13.435744375035346,16.46021288116631
beta_41,1.6429367600757736,4.383898641699542
beta_42,-7.301400932778803,-4.716464187654468
beta_43,-2.00281728680611,0.5717699778489056
beta_44,8.128211396119616,10.875769872845092
beta_45,1.0673014999180808,2.766692669917852
beta_46,-14.166040985893842,-12.196058501789894
beta_47,-0.4645964395773263,2.1689148728788497
beta_48,-14.231775155116893,-11.37693523074212
beta_49,-21.335373482928933,-18.71160297279121
beta_50,4.0096146879475105,6.663085535099776
beta_51,-7.2382645820124205,-4.415390173313567
beta_52,4.083178170289593,6.789366210313765
beta_53,-6.246892247189321,-4.171009079480059
beta_54,1.8666358551780566,3.6758685604364736
