,polynomials,lamb,train_mse,test_mse
0,1,0.0001,0.2910244094085685,0.2912826152766851
1,1,0.001,0.29102743202239484,0.291314381544285
2,1,0.01,0.29123189470500216,0.2915054240566883
3,1,0.1,0.31103309172625504,0.31127531388708973
4,1,1.0,1.0,1.000862946421289
5,2,0.0001,0.19928720596041755,0.19956926723539156
6,2,0.001,0.19940451552320743,0.19981688580500895
7,2,0.01,0.20694330939109468,0.20716128898837813
8,2,0.1,0.2956034132563271,0.2958271966308924
9,2,1.0,0.9999999999999998,1.0003862991235837
10,3,0.0001,0.09154163318974737,0.09181120903196599
11,3,0.001,0.09579390105697896,0.09598572931984482
12,3,0.01,0.2052897763203521,0.20562554640346611
13,3,0.1,0.2956068461922419,0.29591851195588265
14,3,1.0,0.9999999999999994,1.0003403952245897
15,4,0.0001,0.09195662465545558,0.09238556312465941
16,4,0.001,0.098104763802816,0.09829677520825844
17,4,0.01,0.1580836212839011,0.15829011944150495
18,4,0.1,0.29560447824036834,0.29586308702276776
19,4,1.0,0.9999999999999984,1.000546016101515
20,5,0.0001,0.08732326442652726,0.08758414237296372
21,5,0.001,0.09823142020731265,0.09846981240563782
22,5,0.01,0.14292294668530073,0.14303229870230885
23,5,0.1,0.2956002302642415,0.29600806443220323
24,5,1.0,1.000000000000001,1.0008306323670582
25,6,0.0001,0.07787272083130403,0.07817114075847584
26,6,0.001,0.0905513943938851,0.09089618854334838
27,6,0.01,0.1399814145250366,0.14011103773191463
28,6,0.1,0.29560775641079284,0.29578247602282615
29,6,1.0,0.9999999999999993,1.0004523794091986
30,7,0.0001,0.07018797492680343,0.07053110771344477
31,7,0.001,0.08129839128034683,0.08154885393801622
32,7,0.01,0.14108450060611874,0.14128843315666
33,7,0.1,0.29560809624599055,0.29584962335113507
34,7,1.0,0.9999999999999997,1.0005501198509272
35,8,0.0001,0.06485051990137121,0.06511946921995629
36,8,0.001,0.07510476556822823,0.07541299925705675
37,8,0.01,0.1424173862333099,0.14259447118358176
38,8,0.1,0.29560351074747737,0.2959464907371662
39,8,1.0,1.0000000000000007,1.0005320799404636
40,9,0.0001,0.062001369686406335,0.06221147293802345
41,9,0.001,0.07152933532295612,0.07178501949082725
42,9,0.01,0.14216581270123652,0.14239684030343927
43,9,0.1,0.29560339341227315,0.29592394433809743
44,9,1.0,0.9999999999999997,1.0004949068256894
