,polynomials,lamb,train_mse,test_mse
0,1,0.001,0.29102556330139806,0.2912144467760704
1,1,0.01,0.29103000046195926,0.29123907275648564
2,1,0.1,0.2910257443513229,0.2912156862403042
3,1,1.0,0.2910271160573542,0.29125347495435017
4,1,10.0,0.29103022720777566,0.29121180384484613
5,1,100.0,0.2911105986845599,0.29145408707543125
6,1,1000.0,0.29811767580626514,0.2983330698118404
7,1,10000.0,0.48741707026597575,0.4877967665661613
8,2,0.001,0.19928333991714087,0.19962638156013002
9,2,0.01,0.19929135610367865,0.199543216422217
10,2,0.1,0.1992901276024534,0.1996126937839186
11,2,1.0,0.19928506829478565,0.19957986544518375
12,2,10.0,0.19937093735823835,0.19971123737578161
13,2,100.0,0.20416978867456326,0.20444816967149904
14,2,1000.0,0.25668592890051867,0.25688985483488225
15,2,10000.0,0.3804912910686046,0.3807748066103479
16,3,0.001,0.09041292316145826,0.09068919338186024
17,3,0.01,0.09041766726347264,0.09064422631632318
18,3,0.1,0.09042750441061695,0.09063222829034787
19,3,1.0,0.09118538819929053,0.09146451435614977
20,3,10.0,0.11255622642245966,0.11280589083502415
21,3,100.0,0.17920090233639915,0.17949410064896584
22,3,1000.0,0.24230609788352542,0.24259004619396135
23,3,10000.0,0.3687411779458704,0.36910144018092245
24,4,0.001,0.048586426235745904,0.04879666991881949
25,4,0.01,0.04865560717010013,0.0488528490930457
26,4,0.1,0.0524349581795334,0.05259660045906626
27,4,1.0,0.07890550919105413,0.07914591224852793
28,4,10.0,0.0990740366886785,0.09927259826315367
29,4,100.0,0.1489008664226453,0.14921243052042552
30,4,1000.0,0.23279210899418876,0.23301766602660473
31,4,10000.0,0.36763726852782364,0.3679904607500033
32,5,0.001,0.02092833145365915,0.021052355364881828
33,5,0.01,0.025124714547935918,0.025231085005634625
34,5,0.1,0.04013321996079836,0.04025947101398053
35,5,1.0,0.06193495140607005,0.06209081279605895
36,5,10.0,0.09540508962066127,0.09563198120831448
37,5,100.0,0.13141322423340954,0.13171680407557146
38,5,1000.0,0.22336976570966396,0.22371483032521988
39,5,10000.0,0.3640687612240318,0.36426661123961257
40,6,0.001,0.01541920661874946,0.015582895833426707
41,6,0.01,0.0201217070971439,0.020217908617616753
42,6,0.1,0.03176734869452367,0.031895823181606546
43,6,1.0,0.05362348189182299,0.05382436357935851
44,6,10.0,0.08831224789207762,0.08850726134365279
45,6,100.0,0.12585694255259022,0.12612157247473696
46,6,1000.0,0.2133594673958153,0.21363264126424802
47,6,10000.0,0.3584726241599783,0.3587535354293466
48,7,0.001,0.012264114901260637,0.01235372612244489
49,7,0.01,0.01681554950641289,0.016910867082448957
50,7,0.1,0.026376104032924685,0.026492096344036254
51,7,1.0,0.04825407075925502,0.04850904987918629
52,7,10.0,0.0807408367291558,0.08101754817875098
53,7,100.0,0.12471031624612057,0.12496492027097712
54,7,1000.0,0.2045374817596667,0.20476664558263274
55,7,10000.0,0.35269601864108896,0.3530971764960841
56,8,0.001,0.010714380682253433,0.010815928767058655
57,8,0.01,0.014266158324130099,0.014359557680514792
58,8,0.1,0.023631933238815107,0.023780043806409072
59,8,1.0,0.04411137726285511,0.04440406351279093
60,8,10.0,0.0749969565830742,0.07526656532979217
61,8,100.0,0.1235352763451388,0.12372316731938997
62,8,1000.0,0.19832689836913356,0.19856715572816835
63,8,10000.0,0.3477624178415243,0.34805755230408
64,9,0.001,0.009548094988603045,0.009639971344203632
65,9,0.01,0.01274852126211049,0.01283009438046876
66,9,0.1,0.02155187388383529,0.021670418997551143
67,9,1.0,0.040935868673830166,0.04109942807871585
68,9,10.0,0.07098115433219312,0.07120270121021274
69,9,100.0,0.12103570824892293,0.1212622269113163
70,9,1000.0,0.19481660377746207,0.19503646410610628
71,9,10000.0,0.34391736289267844,0.3443781687112409
