,2.5,97.5
beta_0,-0.020228450991002532,0.01954701644921564
beta_1,-0.41205425803229034,0.051878899279592675
beta_2,-0.046593637174510566,0.3629720245651157
beta_3,-1.2421895001889347,-0.3692105337205396
beta_4,0.20243206633129024,0.8387078298044418
beta_5,-1.8200537998792758,-0.9808379939619618
beta_6,0.20251116756105164,0.6238677214083098
beta_7,0.15787578244211117,0.584849040853142
beta_8,-0.42152613654900306,0.002348551977412023
beta_9,0.09211400276157292,0.5301292709937697
beta_10,0.12247523119556798,0.5576336340890635
beta_11,-0.013799314507460731,0.2753505132205696
beta_12,-0.5815307349226329,-0.15146716879236766
beta_13,-0.11670126653885685,0.1646726638170103
beta_14,0.4676191550182896,0.8650178661242824
beta_15,0.01865535950106157,0.27219854512895075
beta_16,-0.1309538441818221,0.0898943400072739
beta_17,-0.28449248070821814,0.015140607070704644
beta_18,-0.4256318111938212,-0.0385818742263885
beta_19,-0.005331459685687117,0.21424785012887687
beta_20,0.18816031362001073,0.430405276665797
beta_21,-0.013984730899056613,0.0
beta_22,-0.21181006588599677,-0.0
beta_23,-0.007738780107029039,0.18162701279695195
beta_24,-0.010567812875039788,0.07438040311894685
beta_25,-0.18361080720046194,0.0
beta_26,0.0,0.17847781411323407
beta_27,-0.06435974199631131,-0.0
beta_28,-0.4425196729367582,-0.028913955231310736
beta_29,-0.5568174907304088,-0.049357725823792865
beta_30,0.0,0.4659890184735922
beta_31,0.04851359586735931,0.4747861936250532
beta_32,-0.04339126228304313,0.10412884081395582
beta_33,-0.3359799972961771,0.016935389385586485
beta_34,-0.12791939648808498,0.1937586585199295
beta_35,-0.5365179675064091,-0.15147816333631603
