,polynomials,lamb,train_mse,test_mse
0,1,0.001,0.9431283117958549,0.9439768295277906
1,1,0.01,0.9431322712653089,0.9437656260735808
2,1,0.1,0.9431362179352714,0.9438905124277766
3,1,1.0,0.9431382816201157,0.9439489339608496
4,1,10.0,0.9431302946709794,0.943773077685918
5,1,100.0,0.943137615157902,0.9438766210427303
6,1,1000.0,0.9437009954168619,0.9444492413492045
7,1,10000.0,0.9588844640587795,0.9596975163338174
8,1,100000.0,0.9909963718424046,0.9913708476367029
9,1,1000000.0,0.99898996224755,0.9995027819793503
10,1,10000000.0,0.999897749250238,1.0002074412015496
11,2,0.001,0.9375590384585868,0.9389577447943299
12,2,0.01,0.9375496018442606,0.9392054361970186
13,2,0.1,0.9375602656018176,0.9389754603138949
14,2,1.0,0.9375642079950868,0.9389785746272526
15,2,10.0,0.9375856335192921,0.9386316038013496
16,2,100.0,0.9379180957259624,0.9393813994096781
17,2,1000.0,0.9419045706415359,0.9426245946360133
18,2,10000.0,0.9508485018132884,0.9514086760643348
19,2,100000.0,0.9808693276803526,0.9812876735568974
20,2,1000000.0,0.9974299720779809,0.9979351440670763
21,2,10000000.0,0.9997341448116407,1.0000546999136515
22,3,0.001,0.9279614914929979,0.9302555801099034
23,3,0.01,0.9279784764184242,0.9297019258496733
24,3,0.1,0.9279496473180634,0.9307021157628285
25,3,1.0,0.928005872164046,0.9303002400506799
26,3,10.0,0.9294809787723459,0.9317807968067788
27,3,100.0,0.9351599819353329,0.9366331817077344
28,3,1000.0,0.9406735345864657,0.9418390019757789
29,3,10000.0,0.9504936219425095,0.951329451399857
30,3,100000.0,0.9737608503910922,0.9743636662830835
31,3,1000000.0,0.9956794828321568,0.9964467810237603
32,3,10000000.0,0.9995397086404498,0.9999824316388377
33,4,0.001,0.9237719600923915,0.9263699760455264
34,4,0.01,0.9237459638534681,0.9269507695930915
35,4,0.1,0.9239584845180235,0.9267949742019039
36,4,1.0,0.9262200981757813,0.9291837084019295
37,4,10.0,0.9286833070314525,0.931620225444106
38,4,100.0,0.932591752425763,0.9346032651253827
39,4,1000.0,0.9395394921489156,0.9405233128328359
40,4,10000.0,0.9507169663029803,0.9517741787942363
41,4,100000.0,0.9699105393455969,0.9705982932113779
42,4,1000000.0,0.9939536001835607,0.9942715050115055
43,4,10000000.0,0.9993320057693982,0.999909611056059
44,5,0.001,0.9216967100562868,0.9266341557807231
45,5,0.01,0.9217979616540883,0.9263219378549585
46,5,0.1,0.9225927522068199,0.9256992342932246
47,5,1.0,0.9240669328841496,0.9268236923590212
48,5,10.0,0.9278578724731841,0.930194597044632
49,5,100.0,0.9314609787944954,0.9332509848216265
50,5,1000.0,0.9386005121321578,0.9398698055620626
51,5,10000.0,0.950410297039542,0.9513027102203726
52,5,100000.0,0.9682361737305906,0.968931282070073
53,5,1000000.0,0.9923745084754737,0.9929227381237787
54,5,10000000.0,0.999121385780344,0.9998650107835418
55,6,0.001,0.9204023651898181,0.926041040746496
56,6,0.01,0.9213254944987062,0.9262445085594226
57,6,0.1,0.9220528795803364,0.9264363400090099
58,6,1.0,0.9233603818783067,0.9263640595738913
59,6,10.0,0.9265614767919154,0.9286396541449896
60,6,100.0,0.9309570987587531,0.9330655805516443
61,6,1000.0,0.9378611111012194,0.9393377224008603
62,6,10000.0,0.9498181796169194,0.9508289311169783
63,6,100000.0,0.9676751904772678,0.9683437195243136
64,6,1000000.0,0.990988228307536,0.9914644244952882
65,6,10000000.0,0.9989132694869965,0.9993815514547453
66,7,0.001,0.9197357233416892,0.9256239378694235
67,7,0.01,0.9205774223809235,0.9256168918727077
68,7,0.1,0.9217063386084376,0.9256615133477467
69,7,1.0,0.9230835782103887,0.9269756491827646
70,7,10.0,0.9255468384496724,0.9286727090167288
71,7,100.0,0.9305480143908929,0.9328763466963451
72,7,1000.0,0.9372798334438999,0.939210969648425
73,7,10000.0,0.9492171134500603,0.9500073872541964
74,7,100000.0,0.9676193459671097,0.9684393527177558
75,7,1000000.0,0.9898201360675405,0.9900769910427336
76,7,10000000.0,0.9987109803326613,0.999269223445355
77,8,0.001,0.9195711927337855,0.9262320045772823
78,8,0.01,0.9200744341243181,0.9259826049600084
79,8,0.1,0.9212648225186901,0.9263995070863306
80,8,1.0,0.9228229275963292,0.9269855712103711
81,8,10.0,0.9251202497633686,0.9283551404536261
82,8,100.0,0.9300460945178497,0.9326686953165433
83,8,1000.0,0.9369000041583563,0.9385250711597445
84,8,10000.0,0.9487573561175381,0.9500087564610216
85,8,100000.0,0.9676721893020497,0.9682980939477132
86,8,1000000.0,0.9888584682186533,0.9895654261033154
87,8,10000000.0,0.9985158613145606,0.9990772177925976
88,9,0.001,0.9193562488324485,0.925415410833728
89,9,0.01,0.9198533550795794,0.9268638043791265
90,9,0.1,0.9208264572491842,0.9273614862535755
91,9,1.0,0.9225317267351689,0.926445933071965
92,9,10.0,0.924942116668569,0.9283345566211494
93,9,100.0,0.9295358418144165,0.9324526338398635
94,9,1000.0,0.9366332608849348,0.9381528055136534
95,9,10000.0,0.9484341149948134,0.9497647063060747
96,9,100000.0,0.9676832860497058,0.9685603753441308
97,9,1000000.0,0.9880890513403416,0.9886727994612852
98,9,10000000.0,0.9983292106301767,0.9988145624152853
99,10,0.001,0.9189360794435487,0.9260924626135552
100,10,0.01,0.9197163854911443,0.925602057473063
101,10,0.1,0.9206196353605038,0.9265296533776258
102,10,1.0,0.922281921752791,0.926347997177921
103,10,10.0,0.9248255336611318,0.9284328987784869
104,10,100.0,0.9291047981789626,0.9318361030546711
105,10,1000.0,0.936433904953556,0.9383515068668189
106,10,10000.0,0.9482456643474535,0.9498655877320032
107,10,100000.0,0.9676332125552051,0.9683047726969439
108,10,1000000.0,0.9874794942317446,0.9879613661656197
109,10,10000000.0,0.9981512522626496,0.9986612303292958
110,11,0.001,0.918570745767172,0.926631618366805
111,11,0.01,0.9192846357466781,0.9272743215405963
112,11,0.1,0.9203911390015425,0.9266371452341801
113,11,1.0,0.9220067593031291,0.9272704686319697
114,11,10.0,0.9246960168782309,0.928494231443788
115,11,100.0,0.9288064237948024,0.9318986660779032
116,11,1000.0,0.9362407866195974,0.9386543922322016
117,11,10000.0,0.9481315721338005,0.9495642650914189
118,11,100000.0,0.9674743136830711,0.9688615171562429
119,11,1000000.0,0.9870118367387166,0.987804084367451
120,11,10000000.0,0.9979821673571122,0.9985170932494611
121,12,0.001,0.9183653544435785,0.9265008414462196
122,12,0.01,0.9190055014627683,0.9260704692614017
123,12,0.1,0.9201992534510858,0.9265164109306753
124,12,1.0,0.9218549618593054,0.9261189345067402
125,12,10.0,0.9245437171130046,0.928580621714539
126,12,100.0,0.9286431017539526,0.931492101161625
127,12,1000.0,0.9361246433173269,0.9383808786335793
128,12,10000.0,0.9480595664429698,0.9497823632049963
129,12,100000.0,0.967305819702684,0.9680561427616512
130,12,1000000.0,0.9866422855885105,0.9873055233458015
131,12,10000000.0,0.9978205481624649,0.9981292435192849
132,13,0.001,0.918254176239223,0.9258613940951994
133,13,0.01,0.918781922872921,0.9258495472206778
134,13,0.1,0.9199308862593755,0.926455988290464
135,13,1.0,0.9216356511840301,0.9264461493277117
136,13,10.0,0.9243448827695916,0.9292449159315218
137,13,100.0,0.9285859314936591,0.9309756460560177
138,13,1000.0,0.9359542011248296,0.9384524273365958
139,13,10000.0,0.9480344139284245,0.9491875788117936
140,13,100000.0,0.9670830188016366,0.9679825180094802
141,13,1000000.0,0.9863608384149817,0.9868363785597223
142,13,10000000.0,0.9976672289938421,0.9979031443139714
143,14,0.001,0.9180177065361776,0.9271171376439622
144,14,0.01,0.9185604663989789,0.9269619337729061
145,14,0.1,0.9196709298941095,0.9262037890625103
146,14,1.0,0.9214123694175844,0.9262265243428155
147,14,10.0,0.9242617210875892,0.9279434413050293
148,14,100.0,0.9285087488968384,0.9313996966279706
149,14,1000.0,0.9358497740268119,0.9379357132762136
150,14,10000.0,0.9479857899285348,0.9491265043441137
151,14,100000.0,0.9668640233104104,0.9678030505997883
152,14,1000000.0,0.9861534406499045,0.9865503440575429
153,14,10000000.0,0.9975232621340886,0.998066508175309
154,15,0.001,0.9177954467286596,0.9265619108249593
155,15,0.01,0.9183993327181907,0.9274567704810887
156,15,0.1,0.9194296326187003,0.9264866034942212
157,15,1.0,0.9211471469049892,0.9265811677083697
158,15,10.0,0.924010512182153,0.9290258170655239
159,15,100.0,0.9284525255756539,0.9316680798236652
160,15,1000.0,0.935731375407936,0.9380247999272189
161,15,10000.0,0.9479351763773511,0.9495272202200373
162,15,100000.0,0.9666731614822606,0.9678153665974143
163,15,1000000.0,0.9859867285349436,0.9865250865868553
164,15,10000000.0,0.9973865003656448,0.9978515464164411
165,16,0.001,0.9174409947490162,0.9281152405748557
166,16,0.01,0.9183115215167865,0.9266315856889676
167,16,0.1,0.9192977069085175,0.925972826804427
168,16,1.0,0.9209050689972793,0.9268910278193733
169,16,10.0,0.9238588414341198,0.9284783722362725
170,16,100.0,0.9283980024772409,0.9318624528412462
171,16,1000.0,0.9356531818435663,0.9376911471813859
172,16,10000.0,0.9479145278174155,0.9493102529061593
173,16,100000.0,0.9665125680362507,0.9671677760680373
174,16,1000000.0,0.9858630188156079,0.986358711538623
175,16,10000000.0,0.9972578067627419,0.9980792979807415
176,17,0.001,0.9171442641148644,0.9270328234692335
177,17,0.01,0.9180938668132578,0.926439234351494
178,17,0.1,0.9191779585619143,0.9264891747605919
179,17,1.0,0.920753977668784,0.9261903857780126
180,17,10.0,0.9236313815363303,0.928829600682028
181,17,100.0,0.9283288426481364,0.9320941568093286
182,17,1000.0,0.9355315322033748,0.9385073599996872
183,17,10000.0,0.9478439273266493,0.9497998653090882
184,17,100000.0,0.9663623970697686,0.9673217811180965
185,17,1000000.0,0.9857625414327883,0.9862671134908952
186,17,10000000.0,0.997136280009436,0.9978337131581918
187,18,0.001,0.9167745069682469,0.9273322729135878
188,18,0.01,0.9178180262913995,0.9270595442576128
189,18,0.1,0.9190288031001035,0.9270979112807811
190,18,1.0,0.9206089871577753,0.926622452355262
191,18,10.0,0.9234542941251199,0.9284185995324028
192,18,100.0,0.9282358318973849,0.9315304656612531
193,18,1000.0,0.9355209222766216,0.9380569861661707
194,18,10000.0,0.9478181405309651,0.9493805293169819
195,18,100000.0,0.9662353323331434,0.9672589785323957
196,18,1000000.0,0.9856744894718867,0.9862900479759868
197,18,10000000.0,0.9970218169628626,0.9975376043475379
198,19,0.001,0.9164710744262647,0.9278385210544016
199,19,0.01,0.9174941162630621,0.9272234739817907
200,19,0.1,0.9189552865649515,0.9262200324326739
201,19,1.0,0.9204735991336793,0.9266762062379028
202,19,10.0,0.923277529446896,0.928238746023333
203,19,100.0,0.9280873210963962,0.9325313158091276
204,19,1000.0,0.935461931618814,0.9382497917957761
205,19,10000.0,0.9477697809445067,0.9493979071479345
206,19,100000.0,0.966149319209963,0.967305267879968
207,19,1000000.0,0.9855992116044927,0.9863539868018231
208,19,10000000.0,0.9969155497233959,0.99756369783971
209,20,0.001,0.9162828731168362,0.9275258658496354
210,20,0.01,0.917270038471791,0.9259078309226453
211,20,0.1,0.9187171566278017,0.9278319245073581
212,20,1.0,0.9203805938762682,0.9267023035709551
213,20,10.0,0.9231025376980417,0.9282052147754163
214,20,100.0,0.92799470248112,0.9314316956861269
215,20,1000.0,0.9354292540073985,0.9384079047683797
216,20,10000.0,0.9477259318380666,0.949433167382651
217,20,100000.0,0.9660878622368096,0.9669382866975408
218,20,1000000.0,0.9855448718236653,0.9860962454537125
219,20,10000000.0,0.9968141599327869,0.9974691347716182
220,21,0.001,0.9161100893526399,0.9278708695128888
221,21,0.01,0.9169689411579383,0.92687456232829
222,21,0.1,0.9185329504464066,0.9271555343472968
223,21,1.0,0.920242345183399,0.9277581948006244
224,21,10.0,0.9229683693885598,0.92769161649738
225,21,100.0,0.9278033640526511,0.9320250813002657
226,21,1000.0,0.9354272405796106,0.938467538181718
227,21,10000.0,0.9476895221379371,0.9492053392551408
228,21,100000.0,0.966037393282372,0.9672165027969545
229,21,1000000.0,0.9854726513921032,0.9862763128552047
230,21,10000000.0,0.996721081915009,0.9973654367116854
231,22,0.001,0.9160140001445292,0.9273272893983018
232,22,0.01,0.9167704765416669,0.9264096025745658
233,22,0.1,0.9182905095650572,0.9271157720007258
234,22,1.0,0.9202458032027907,0.9265646333913727
235,22,10.0,0.9228015661182771,0.9283950178020973
236,22,100.0,0.9276764856731485,0.931467366906694
237,22,1000.0,0.9354138795756273,0.9382751198049719
238,22,10000.0,0.9476423110456995,0.9494890621754697
239,22,100000.0,0.9660236227550781,0.9670225028535935
240,22,1000000.0,0.9854137741257958,0.9859215428422313
241,22,10000000.0,0.996631689644387,0.9972560871369621
242,23,0.001,0.9159345825296423,0.9274857719967207
243,23,0.01,0.9166164048273746,0.9267624717921963
244,23,0.1,0.918067075441462,0.9266488943899415
245,23,1.0,0.9201435939293997,0.9262919452960992
246,23,10.0,0.9227249775578956,0.9278313554004326
247,23,100.0,0.9274993826459447,0.9319537898280303
248,23,1000.0,0.9353794625471595,0.9387063610733118
249,23,10000.0,0.9475991900986369,0.9494780551983458
250,23,100000.0,0.9659917852989037,0.9675340546463543
251,23,1000000.0,0.9853628332257378,0.9860071869051777
252,23,10000000.0,0.9965438906335509,0.997105531521988
253,24,0.001,0.9158580434006213,0.9273435005444055
254,24,0.01,0.9164572516503966,0.927670395973767
255,24,0.1,0.9178049628714247,0.9269754043227924
256,24,1.0,0.9200036176124907,0.9265355885637868
257,24,10.0,0.9225665548847581,0.9287477506918889
258,24,100.0,0.9274101415668202,0.930680270898546
259,24,1000.0,0.9353646211076573,0.938392362936854
260,24,10000.0,0.947578337899482,0.9493356869408445
261,24,100000.0,0.966008817410426,0.9671204464844833
262,24,1000000.0,0.9853072907532162,0.9858191944464304
263,24,10000000.0,0.9964695784215453,0.9968586726663613
