,2.5,97.5
beta_0,-0.0135704501041405,0.013570459471676857
beta_1,-21.965378742447776,0.8737540652665317
beta_2,-16.885644085909362,3.975806601549621
beta_3,52.19465573017757,491.69428841883973
beta_4,333.8877089040016,593.5832865221764
beta_5,-630.7324416336749,-231.76926735070012
beta_6,-6186.959928315787,-1929.7884962142425
beta_7,-3660.083431296738,-1463.7215041585844
beta_8,-5677.345662110902,-3529.7463369430534
beta_9,5895.018575802213,9745.803628787631
beta_10,20300.158982001783,44949.40663842058
beta_11,-892.3301901191226,10656.633717951154
beta_12,20853.043427877714,30975.78643662424
beta_13,11066.35564026698,22222.511669303334
beta_14,-67144.04592123377,-44960.401832672476
beta_15,-198707.1859713331,-107377.11770527213
beta_16,-14851.392083670904,25317.804681327154
beta_17,-81784.16497777171,-49009.0851442986
beta_18,-106701.21891042695,-74022.23604562774
beta_19,-46064.63785490735,-7647.846520092651
beta_20,181329.7339318094,263061.3285681906
beta_21,330116.69830837805,554185.2479654256
beta_22,-86244.55426930799,8970.679513448616
beta_23,42690.99081752451,116224.33291294424
beta_24,172918.35929847293,242071.35310387082
beta_25,122956.96612163194,195870.80340961806
beta_26,-37233.99765933494,53315.33554995994
beta_27,-641448.1290994358,-441962.40996306424
beta_28,-993840.4561794313,-625689.7902194945
beta_29,-15602.545951667606,139238.48027783947
beta_30,-71513.67759920246,42915.03209138996
beta_31,-314243.17006769835,-211099.20493230165
beta_32,-357134.3326918435,-253787.67219096902
beta_33,-222378.51782393645,-109516.97826981355
beta_34,-24695.769709346,122538.947443721
beta_35,680486.7291808692,1006964.5051941308
beta_36,742877.1742073215,1143489.8527702177
beta_37,-113566.13253531753,56828.41024527847
beta_38,-151824.3388061387,-29643.945373548806
beta_39,135185.99760028408,241792.69380596592
beta_40,272707.2025520784,375266.5132682341
beta_41,179992.09464354618,286331.21492676635
beta_42,59894.18538671473,179838.07047266027
beta_43,-185153.80734643972,-22374.809841060283
beta_44,-1017274.697668002,-662816.786706998
beta_45,-816199.223773635,-539210.852764451
beta_46,-85676.89557968156,36017.88581405656
beta_47,82568.6592749189,169124.74648679985
beta_48,-115243.7706903376,-41840.290344818655
beta_49,-206612.95450540632,-138258.97469381243
beta_50,-242796.0390101078,-174362.3311070797
beta_51,-121051.79239013915,-48219.0948168921
beta_52,-112861.8718377999,-28385.75316220009
beta_53,43740.31697409873,160824.29142433876
beta_54,393321.5560972591,638263.529840241
beta_55,219074.8218743726,329242.1391851977
beta_56,6080.090036540121,57169.57182869426
beta_57,-90597.39842300344,-53277.768447113755
beta_58,2574.4278100179727,33887.83415287265
beta_59,27832.246732187927,56243.67123656208
beta_60,71107.81512506455,98669.3494257167
beta_61,41579.94570088967,69877.88633036033
beta_62,-1135.465238698167,29819.559721120044
beta_63,10912.922263702174,47147.758400360326
beta_64,-76507.31776617441,-26991.287214294345
beta_65,-226018.68751057837,-128494.41795817163
beta_66,-57402.91649309478,-38214.49155744233
beta_67,-14415.672387226965,-4823.35861863241
beta_68,12109.243154927764,19659.407281473603
beta_69,-5205.786200373395,1451.7161930491761
beta_70,-6876.707420307654,-653.2923050341437
beta_71,-13543.318444610215,-7466.781653046035
beta_72,-19121.105656349722,-13034.801265036996
beta_73,-4771.706273788799,1460.5563104098928
beta_74,-6239.536923507479,372.5143404996661
beta_75,-8553.868564083901,-1218.8903470489113
beta_76,5950.745939094699,15309.901888053739
beta_77,17449.192587353937,34477.02518608356
