,polynomials,lamb,train_mse,test_mse
0,1,0.001,0.6494608188419806,0.6497790450108109
1,1,0.01,0.6494488425635632,0.6499659194509566
2,1,0.1,0.6494471501110769,0.6499945230989763
3,1,1.0,0.6494612578044501,0.6497611609148206
4,1,10.0,0.6494536285824102,0.6501791973611349
5,1,100.0,0.6494895518100716,0.6500666229372853
6,1,1000.0,0.6529507766083953,0.6536661713745857
7,1,10000.0,0.7465201610956619,0.7469143387924506
8,1,100000.0,0.9444807632492831,0.9449134742503886
9,1,1000000.0,0.9937717489662573,0.9940455162641039
10,1,10000000.0,0.9993696273860777,0.9997684898984991
11,2,0.001,0.6265586334013341,0.627540332370546
12,2,0.01,0.6265491451123104,0.6274925235681852
13,2,0.1,0.6265602556264562,0.6274607596931733
14,2,1.0,0.6265520179106014,0.6275480023493349
15,2,10.0,0.6266123621470557,0.6276733680893456
16,2,100.0,0.6299685421417687,0.6308589587531446
17,2,1000.0,0.6558361240817572,0.6566889443353832
18,2,10000.0,0.7037406417404433,0.7045189157596667
19,2,100000.0,0.8927185424664911,0.8931419896331688
20,2,1000000.0,0.9859837000557047,0.9863301847508896
21,2,10000000.0,0.9985551338803365,0.9988511274848758
22,3,0.001,0.6028044065908413,0.6041984919083115
23,3,0.01,0.6027979256340481,0.6043101093039475
24,3,0.1,0.602799279702819,0.604285247563619
25,3,1.0,0.6028403327627438,0.6043980999491951
26,3,10.0,0.6040327150872442,0.6052977074729047
27,3,100.0,0.6139638190324931,0.6153087844498937
28,3,1000.0,0.6464750579266694,0.6471448816697621
29,3,10000.0,0.7042004984000252,0.7048715056577983
30,3,100000.0,0.8567850228718032,0.8572064898415725
31,3,1000000.0,0.9777212839547864,0.9779492094490674
32,3,10000000.0,0.997644635389719,0.9981542373492924
33,4,0.001,0.5900464859831986,0.592681782176898
34,4,0.01,0.5900868683165152,0.5921673233344288
35,4,0.1,0.590362030895904,0.592752324220689
36,4,1.0,0.5941469698068254,0.5961377694321517
37,4,10.0,0.6019526222255034,0.603604362216702
38,4,100.0,0.6087936673062943,0.6097463637787506
39,4,1000.0,0.6362094986356889,0.6372223320355026
40,4,10000.0,0.7081331909254415,0.7088248458383963
41,4,100000.0,0.8363717190071347,0.8367666210219131
42,4,1000000.0,0.9696852168275149,0.9700296738853913
43,4,10000000.0,0.9966913897831509,0.997133433396019
44,5,0.001,0.5535606585225175,0.55667921193142
45,5,0.01,0.5551638354571604,0.5586453698673344
46,5,0.1,0.5632375429961076,0.5659824555592582
47,5,1.0,0.5780284906188105,0.5797612887312206
48,5,10.0,0.5948600010058205,0.5962865414925382
49,5,100.0,0.6073242247634918,0.6085295252027283
50,5,1000.0,0.6301399506591359,0.6310718201142874
51,5,10000.0,0.7082336270241074,0.7088272620774558
52,5,100000.0,0.8266256446750455,0.8268519138142703
53,5,1000000.0,0.9622739329504422,0.9626626360226818
54,5,10000000.0,0.9957258065563813,0.9960408449411025
55,6,0.001,0.5431065323082308,0.5461089821559739
56,6,0.01,0.5473810197645191,0.5503630657982882
57,6,0.1,0.554361868154427,0.5569719358119158
58,6,1.0,0.5678337880512221,0.5698727778526657
59,6,10.0,0.5855224049479222,0.5871227401551635
60,6,100.0,0.6046438077904941,0.6060673932729781
61,6,1000.0,0.6273993302287713,0.6284521573568068
62,6,10000.0,0.7054095314393611,0.7062088039585005
63,6,100000.0,0.8229400275293106,0.8233796022290084
64,6,1000000.0,0.9556953680920197,0.9561259306509566
65,6,10000000.0,0.9947658296309558,0.9952713411529878
66,7,0.001,0.5196481400558642,0.5229082624715373
67,7,0.01,0.5414901501895537,0.5454447919790049
68,7,0.1,0.552033615435437,0.554843408212623
69,7,1.0,0.5626579615840865,0.5647950904391734
70,7,10.0,0.5781361123285195,0.5803600928557723
71,7,100.0,0.6000423564303917,0.6022423957451455
72,7,1000.0,0.626225823203744,0.6272735741623393
73,7,10000.0,0.7017871699311788,0.7025837860236783
74,7,100000.0,0.8222234378168143,0.8228233425847369
75,7,1000000.0,0.9500214159978017,0.9502693169180295
76,7,10000000.0,0.9938217371710282,0.9942797460234616
77,8,0.001,0.5058658993732246,0.5093312947023766
78,8,0.01,0.5263463971334732,0.52995887408994
79,8,0.1,0.5489087393870715,0.5521494329048028
80,8,1.0,0.5600495290926413,0.563075574615923
81,8,10.0,0.5737389008478,0.5756751762943161
82,8,100.0,0.5948962414738226,0.5963524828448631
83,8,1000.0,0.6253110760550841,0.626369934765013
84,8,10000.0,0.6986719357673643,0.6991746690670412
85,8,100000.0,0.8226773523037247,0.823290443682908
86,8,1000000.0,0.9452610845775631,0.9456285675095779
87,8,10000000.0,0.992900691782685,0.9933299079415618
88,9,0.001,0.5000587776487173,0.5043037933995507
89,9,0.01,0.5142925844428852,0.5184689263939195
90,9,0.1,0.5411241899606762,0.5436627232965857
91,9,1.0,0.5582899557405308,0.5612664359254128
92,9,10.0,0.571223141084831,0.573302454522791
93,9,100.0,0.5903140135040381,0.5915738094436691
94,9,1000.0,0.6239945047330719,0.6251338613840492
95,9,10000.0,0.6964597546811938,0.6971233596619687
96,9,100000.0,0.8233891547693835,0.823896304038627
97,9,1000000.0,0.9413438769423227,0.9416163687993354
98,9,10000000.0,0.9920074506304744,0.9926767551318649
99,10,0.001,0.4972937224632356,0.5017742024544158
100,10,0.01,0.5088913926241416,0.5121637071291362
101,10,0.1,0.5314517636691397,0.5344054886328543
102,10,1.0,0.555687833594003,0.5590884744355386
103,10,10.0,0.5695662877862413,0.5720235051260736
104,10,100.0,0.586842707497657,0.58888219254978
105,10,1000.0,0.6221599951686804,0.6237974280926458
106,10,10000.0,0.6951082537716057,0.6960375546657009
107,10,100000.0,0.8239475079477812,0.8247609835212106
108,10,1000000.0,0.9381905775327594,0.9383974861363168
109,10,10000000.0,0.9911455436701442,0.9913473084184401
110,11,0.001,0.49420763618769714,0.4992242866606621
111,11,0.01,0.5065985047294757,0.5105963832241671
112,11,0.1,0.523981795205659,0.5275803341721019
113,11,1.0,0.5518058356902813,0.5544347942697363
114,11,10.0,0.5681770901424728,0.5705420166602821
115,11,100.0,0.5844915998404572,0.5865606140042101
116,11,1000.0,0.6200224514367482,0.6213027248024086
117,11,10000.0,0.6943391200054059,0.6952245468648866
118,11,100000.0,0.8242133919197216,0.8251623875246867
119,11,1000000.0,0.9357054754731156,0.9362929024168786
120,11,10000000.0,0.9903177344377674,0.9907120990398859
121,12,0.001,0.49065510162423304,0.49539692793794615
122,12,0.01,0.505346273436105,0.509530628362713
123,12,0.1,0.5198897281165374,0.5235509595406558
124,12,1.0,0.546967583856792,0.5499936833958818
125,12,10.0,0.5667273583119046,0.569009394135538
126,12,100.0,0.5829939699626232,0.5847047443079204
127,12,1000.0,0.6177722692476144,0.6191718392476617
128,12,10000.0,0.6939075220132572,0.694776283412075
129,12,100000.0,0.8242068529491213,0.8246644874792229
130,12,1000000.0,0.9337888905643149,0.9341558553405964
131,12,10000000.0,0.9895243887134001,0.9898870153179727
132,13,0.001,0.4870621665696577,0.4922179319316761
133,13,0.01,0.5036205766417515,0.5078462511277114
134,13,0.1,0.5180767848460874,0.5215518886675304
135,13,1.0,0.5421234474977474,0.5459407224480474
136,13,10.0,0.565117281658053,0.5674991782351084
137,13,100.0,0.5819693329311659,0.5837774246580594
138,13,1000.0,0.615588170119071,0.6172883444285284
139,13,10000.0,0.6935696985857611,0.6942926755651767
140,13,100000.0,0.823971475442901,0.8248432324841793
141,13,1000000.0,0.9323291543964863,0.9326491040989279
142,13,10000000.0,0.9887694143608015,0.9892101026511029
143,14,0.001,0.48365665366197297,0.4885768891852518
144,14,0.01,0.5010688667953758,0.505124970421723
145,14,0.1,0.5172143627835674,0.5203991570290255
146,14,1.0,0.5381107023322168,0.5411630798573912
147,14,10.0,0.5633168601150843,0.5658580799290569
148,14,100.0,0.5811901638991245,0.583316263141942
149,14,1000.0,0.6136643943430533,0.6156809428308282
150,14,10000.0,0.6932017081116262,0.6941105078583516
151,14,100000.0,0.8235763491737778,0.8242430736852185
152,14,1000000.0,0.9312486979392307,0.9315841385025248
