,p1,p2,test_AR,train_AR
0,0.001,0.001,0.41681736734832825,0.43045730773556345
1,0.001,0.01,0.5474413437306377,0.579176663673805
2,0.001,0.1,0.5121994023104531,0.7020939466586378
3,0.01,0.001,0.4712441325043699,0.4685282659659167
4,0.01,0.01,0.541724765442358,0.5734778377578368
5,0.01,0.1,0.5152026371007881,0.707558246863377
6,0.1,0.001,0.4360021910841853,0.4353674006304171
7,0.1,0.01,0.5435492606390836,0.5716922195853894
8,0.1,0.1,0.5225071176924523,0.6871637839916809
9,1.0,0.001,0.44912334695746575,0.4528397471713052
10,1.0,0.01,0.545579149666292,0.569788634457148
11,1.0,0.1,0.5462967281120293,0.6122902335943878
12,10.0,0.001,0.4387165095528443,0.43979321342178695
13,10.0,0.01,0.5079859038734124,0.4990841819257665
14,10.0,0.1,0.5167775397946485,0.5084951044568324
